id,route_id,service_id,trip_id
,50T0019R4  ,5032X,5032X25148R4
,50T0019R4  ,5032X,5032X25150R4
,50T0019R4  ,5032X,5032X25152R4
,50T0019R4  ,5032X,5032X25154R4
,50T0019R4  ,5032X,5032X25156R4
,50T0019R4  ,5032X,5032X25159R4
,50T0019R4  ,5032X,5032X25161R4
,50T0019R4  ,5032X,5032X25163R4
,50T0019R4  ,5032X,5032X25164R4
,50T0019R4  ,5032X,5032X25168R4
,50T0019R4  ,5032X,5032X25171R4
,50T0019R4  ,5032X,5032X25172R4
,50T0019R4  ,5032X,5032X25175R4
,50T0019R4  ,5032X,5032X25177R4
,50T0019R4  ,5032X,5032X25178R4
,50T0019R4  ,5032X,5032X25181R4
,50T0019R4  ,5032X,5032X25182R4
,50T0019R4  ,5032X,5032X25184R4
,50T0019R4  ,5032X,5032X25186R4
,50T0016R3  ,5032X,5032X25300R3
,50T0015R3  ,5032X,5032X25301R3
,50T0016R3  ,5032X,5032X25302R3
,50T0015R3  ,5032X,5032X25303R3
,50T0016R3  ,5032X,5032X25304R3
,50T0015R3  ,5032X,5032X25305R3
,50T0016R3  ,5032X,5032X25306R3
,50T0015R3  ,5032X,5032X25307R3
,50T0015R3  ,5032X,5032X25309R3
,50T0016R3  ,5032X,5032X25310R3
,50T0016R3  ,5032X,5032X25312R3
,50T0015R3  ,5032X,5032X25313R3
,50T0016R3  ,5032X,5032X25314R3
,50T0015R3  ,5032X,5032X25315R3
,50T0016R3  ,5032X,5032X25316R3
,50T0015R3  ,5032X,5032X25317R3
,50T0016R3  ,5032X,5032X25318R3
,50T0015R3  ,5032X,5032X25319R3
,50T0015R3  ,5032X,5032X25321R3
,50T0015R3  ,5032X,5032X25323R3
,50T0016R3  ,5032X,5032X25324R3
,50T0015R3  ,5032X,5032X25325R3
,50T0016R3  ,5032X,5032X25326R3
,50T0015R3  ,5032X,5032X25327R3
,50T0016R3  ,5032X,5032X25328R3
,50T0015R3  ,5032X,5032X25329R3
,50T0016R3  ,5032X,5032X25330R3
,50T0015R3  ,5032X,5032X25331R3
,50T0016R3  ,5032X,5032X25332R3
,50T0015R3  ,5032X,5032X25333R3
,50T0016R3  ,5032X,5032X25334R3
,50T0016R3  ,5032X,5032X25336R3
,50T0015R3  ,5032X,5032X25337R3
,50T0016R3  ,5032X,5032X25338R3
,50T0015R3  ,5032X,5032X25339R3
,50T0016R3  ,5032X,5032X25340R3
,50T0015R3  ,5032X,5032X25341R3
,50T0016R3  ,5032X,5032X25342R3
,50T0016R3  ,5032X,5032X25344R3
,50T0016R3  ,5032X,5032X25360R3
,50T0016R3  ,5032X,5032X25362R3
,50T0015R3  ,5032X,5032X25363R3
,50T0016R3  ,5032X,5032X25364R3
,50T0015R3  ,5032X,5032X25365R3
,50T0016R3  ,5032X,5032X25366R3
,50T0015R3  ,5032X,5032X25367R3
,50T0016R3  ,5032X,5032X25368R3
,50T0015R3  ,5032X,5032X25369R3
,50T0016R3  ,5032X,5032X25370R3
,50T0015R3  ,5032X,5032X25371R3
,50T0016R3  ,5032X,5032X25372R3
,50T0015R3  ,5032X,5032X25373R3
