id,route_id,service_id,trip_id
89,50T0001R1  ,5032X,5032X28882R1
90,50T0001R1  ,5032X,5032X28884R1
91,50T0001R1  ,5032X,5032X28886R1
92,50T0001R1  ,5032X,5032X28888R1
93,50T0001R1  ,5032X,5032X28890R1
94,50T0001R1  ,5032X,5032X28892R1
95,50T0001R1  ,5032X,5032X28894R1
96,50T0001R1  ,5032X,5032X28896R1
97,50T0001R1  ,5032X,5032X28898R1
98,50T0001R1  ,5032X,5032X28900R1
99,50T0001R1  ,5032X,5032X28902R1
100,50T0001R1  ,5032X,5032X28904R1
101,50T0001R1  ,5032X,5032X28906R1
102,50T0001R1  ,5032X,5032X28908R1
103,50T0001R1  ,5032X,5032X28910R1
104,50T0001R1  ,5032X,5032X28912R1
105,50T0001R1  ,5032X,5032X28914R1
106,50T0001R1  ,5032X,5032X28916R1
107,50T0001R1  ,5033J,5033J25601R1
108,50T0001R1  ,5033J,5033J25603R1
109,50T0001R1  ,5033J,5033J25605R1
110,50T0001R1  ,5033J,5033J25607R1
111,50T0001R1  ,5033J,5033J25609R1
112,50T0001R1  ,5033J,5033J25611R1
113,50T0001R1  ,5033J,5033J25613R1
114,50T0001R1  ,5033J,5033J25615R1
115,50T0001R1  ,5033J,5033J25617R1
116,50T0001R1  ,5033J,5033J25619R1
117,50T0001R1  ,5033J,5033J25621R1
118,50T0001R1  ,5033J,5033J25623R1
119,50T0001R1  ,5033J,5033J25625R1
120,50T0001R1  ,5033J,5033J25627R1
121,50T0001R1  ,5033J,5033J25629R1
122,50T0001R1  ,5033J,5033J25631R1
123,50T0001R1  ,5033J,5033J25633R1
124,50T0001R1  ,5033J,5033J25635R1
125,50T0001R1  ,5033J,5033J25637R1
126,50T0001R1  ,5033J,5033J25639R1
127,50T0001R1  ,5033J,5033J25641R1
128,50T0001R1  ,5033J,5033J25643R1
129,50T0001R1  ,5033J,5033J25645R1
130,50T0001R1  ,5033J,5033J25647R1
131,50T0001R1  ,5033J,5033J25649R1
132,50T0001R1  ,5033J,5033J25651R1
133,50T0001R1  ,5033J,5033J25653R1
134,50T0001R1  ,5033J,5033J25655R1
135,50T0001R1  ,5033J,5033J25657R1
136,50T0001R1  ,5033J,5033J25659R1
137,50T0001R1  ,5033J,5033J25661R1
138,50T0001R1  ,5033J,5033J25663R1
139,50T0001R1  ,5033J,5033J25665R1
140,50T0001R1  ,5033J,5033J25667R1
141,50T0001R1  ,5033J,5033J25669R1
142,50T0001R1  ,5033J,5033J25701R1
143,50T0001R1  ,5033J,5033J25703R1
144,50T0001R1  ,5033J,5033J25705R1
145,50T0001R1  ,5033J,5033J25707R1
146,50T0001R1  ,5033J,5033J25709R1
147,50T0001R1  ,5033J,5033J25711R1
148,50T0001R1  ,5033J,5033J25713R1
149,50T0001R1  ,5033J,5033J25715R1
150,50T0001R1  ,5033J,5033J25717R1
151,50T0001R1  ,5033J,5033J25719R1
152,50T0001R1  ,5033J,5033J25721R1
153,50T0001R1  ,5033J,5033J25723R1
154,50T0001R1  ,5033J,5033J25725R1
155,50T0001R1  ,5033J,5033J25727R1
156,50T0001R1  ,5033J,5033J25729R1
157,50T0001R1  ,5033J,5033J25731R1
158,50T0001R1  ,5033J,5033J25733R1
159,50T0001R1  ,5033J,5033J25735R1
160,50T0001R1  ,5033J,5033J25737R1
161,50T0001R1  ,5033J,5033J25739R1
