id,stop_id,stop_name,stop_lat,stop_lon                                                                                                                   
151,78707,Montcada I Reixac-Santa Maria,41.481232 ,2.166922                                                                                               
152,78708,Montcada I Reixac-Manresa,41.483996 ,2.185513                                                                                                   
153,78709,Sabadell Nord,41.562871 ,2.087794                                                                                                               
154,78710,Terrasa Est,41.567261 ,2.041561                                                                                                                 
155,78800,Montcada Bifurcacio,41.468992 ,2.178904                                                                                                         
156,78801,Barcelona-Torre Del Baro,41.460945 ,2.181042                                                                                                    
157,78802,Sant Andreu Arenal,41.430893 ,2.183095                                                                                                          
158,78804,Barcelona-Arc De Triomf,41.391864 ,2.180076                                                                                                     
159,78805,Barcelona-Pla�a De Catalunya,41.386726 ,2.166458                                                                                                
160,78806,Barcelona La Sagrera Meridiana,41.422638 ,2.187262                                                                                              
161,79004,Barcelona-Sant Andreu Comtal,41.435807 ,2.193572                                                                                                
162,79005,Montcada I Reixac,41.483833 ,2.188193                                                                                                           
163,79006,Mollet-Sant Fost,41.530069 ,2.215485                                                                                                            
164,79007,Montmelo,41.5519598,2.2517501                                                                                                                   
165,79009,Barcelona-Clot-Arago,41.41745  ,2.192893                                                                                                        
166,79011,Llagosta,41.510428 ,2.199740                                                                                                                    
167,79100,Granollers Centre,41.594528 ,2.29107                                                                                                            
168,79101,Cardedeu,41.635258 ,2.360275                                                                                                                    
169,79102,Llinars Del Valles,41.636058 ,2.403675                                                                                                          
170,79103,Palautordera (apd),41.670899 ,2.452823                                                                                                          
171,79104,Sant Celoni,41.686024 ,2.491262                                                                                                                 
172,79105,Gualba,41.714078 ,2.533778                                                                                                                      
173,79106,Riells I Viabrea-Breda,41.723357 ,2.560075                                                                                                      
174,79107,Hostalric,41.747657 ,2.632175                                                                                                                   
175,79109,Les Franqueses-Granollers Nord,41.617306 ,2.292859                                                                                              
176,79200,Ma�anet-Massanes,41.778657 ,2.678775                                                                                                            
177,79202,Sils,41.8076830,2.74486000                                                                                                                      
178,79203,Caldes De Malavella,41.8410980,2.80076500                                                                                                       
179,79204,Riudellots,41.8962320,2.81159900                                                                                                                
180,79205,Fornells De La Selva,41.9351570,2.80973200                                                                                                      
181,79300,Girona,41.9793030,2.81700600                                                                                                                    
182,79301,Celra,42.0272300,2.87496900                                                                                                                     
183,79302,Bordils-Juia,42.0370680,2.91525500                                                                                                              
184,79303,Fla�a,42.0475960,2.95750600                                                                                                                     
185,79304,Sant Jordi Desvalls,42.0683190,2.96453300                                                                                                       
186,79305,Camallera,42.1223590,2.96544800                                                                                                                 
187,79306,Sant Miquel De Fluvia,42.1720870,2.98966300                                                                                                     
188,79308,Vilamalla,42.2162020,2.97787400                                                                                                                 
189,79309,Figueres,42.2650650,2.96878700                                                                                                                  
190,79311,Vilajuiga,42.3257390,3.08538500                                                                                                                 
191,79312,Llan��,42.3665949,3.14898700                                                                                                                    
192,79314,Colera,42.4070680,3.15426200                                                                                                                    
193,79315,Portbou,42.4244940,3.15785800                                                                                                                   
194,79316,Cerbere,42.4414760,3.16325900                                                                                                                   
195,79400,Barcelona-Estacio De Fran�a,41.384089 ,2.187004                                                                                                 
196,79403,Sant Adria De Besos (apd),41.424665 ,2.230761                                                                                                   
